Dev_X_m	Y_vert_m	Z_long_m	Px	Py	Pz	S_Rady	S_Dikey	S_Long	T_sec
-1.421085e-14	3.450000e-03	0.000000e+00	2.110043e-33	2.082312e-25	-3.744957e-19	5.632596e-15	1.800243e-06	-1.000000e+00	1.0000000000e-11
-3.720564e-08	-8.193896e-04	5.099825e-04	-6.139128e-28	2.786852e-23	-3.744957e-19	-4.072698e-08	2.409346e-04	-1.000000e+00	3.3445800000e-06
-1.343849e-07	-3.062535e-03	1.019893e-03	-6.104710e-28	-1.347802e-23	-3.744957e-19	-7.747330e-08	-1.165229e-04	-1.000000e+00	6.6891499999e-06
-2.057403e-07	2.276555e-03	1.529796e-03	-3.946031e-28	-2.168989e-23	-3.744957e-19	-1.145164e-07	-1.875178e-04	-1.000000e+00	1.0033720000e-05
-2.010111e-07	1.977930e-03	2.457227e-04	4.489393e-28	2.365283e-23	-3.744957e-19	-1.466207e-07	2.044882e-04	-1.000000e+00	1.3378300000e-05
-1.261793e-07	-3.218015e-03	7.556256e-04	6.486070e-28	1.040497e-23	-3.744957e-19	-1.836427e-07	8.995513e-05	-1.000000e+00	1.6722870001e-05
-2.983477e-08	-4.450759e-04	1.265546e-03	5.599202e-28	-2.847625e-23	-3.744957e-19	-2.209593e-07	-2.461887e-04	-1.000000e+00	2.0067440001e-05
2.364118e-10	3.431566e-03	1.775524e-03	-3.748359e-29	3.242128e-24	-3.744957e-19	-2.614236e-07	2.802949e-05	-1.000000e+00	2.3412010001e-05
-4.502927e-08	-1.184964e-03	4.916149e-04	-6.732433e-28	2.692143e-23	-3.744957e-19	-3.023102e-07	2.327466e-04	-1.000000e+00	2.6756590001e-05
-1.442388e-07	-2.857614e-03	1.001516e-03	-5.873722e-28	-1.619046e-23	-3.744957e-19	-3.385381e-07	-1.399730e-04	-1.000000e+00	3.0101160001e-05
-2.106182e-07	2.543286e-03	1.511413e-03	-3.332382e-28	-1.944230e-23	-3.744957e-19	-3.752985e-07	-1.680865e-04	-1.000000e+00	3.3445730002e-05
-1.956870e-07	1.651702e-03	2.273395e-04	5.018384e-28	2.526356e-23	-3.744957e-19	-4.073597e-07	2.184136e-04	-1.000000e+00	3.6790310002e-05
-1.154901e-07	-3.335580e-03	7.372421e-04	6.856673e-28	7.287427e-24	-3.744957e-19	-4.442317e-07	6.300276e-05	-1.000000e+00	4.0134880002e-05
-2.070951e-08	-7.094772e-05	1.247175e-03	4.868851e-28	-2.869037e-23	-3.744957e-19	-4.822397e-07	-2.480398e-04	-1.000000e+00	4.3479450002e-05
-3.377210e-10	3.363472e-03	1.757148e-03	-9.042021e-29	6.341530e-24	-3.744957e-19	-5.223335e-07	5.482507e-05	-1.000000e+00	4.6824020003e-05
-5.543288e-08	-1.542367e-03	4.732390e-04	-7.250498e-28	2.556377e-23	-3.744957e-19	-5.632103e-07	2.210091e-04	-1.000000e+00	5.0168600003e-05
-1.541050e-07	-2.617889e-03	9.831287e-04	-5.491770e-28	-1.876229e-23	-3.744957e-19	-5.988263e-07	-1.622075e-04	-1.000000e+00	5.3513170003e-05
-2.132634e-07	2.795153e-03	1.493021e-03	-2.491398e-28	-1.681684e-23	-3.744957e-19	-6.352663e-07	-1.453884e-04	-1.000000e+00	5.6857740003e-05
-1.874667e-07	1.282904e-03	2.089532e-04	5.429215e-28	2.670306e-23	-3.744957e-19	-6.676540e-07	2.308587e-04	-1.000000e+00	6.0202320004e-05
-1.051860e-07	-3.415183e-03	7.188569e-04	6.980093e-28	3.999662e-24	-3.744957e-19	-7.045031e-07	3.457872e-05	-1.000000e+00	6.3546890004e-05
-1.462450e-08	3.202284e-04	1.228800e-03	4.051539e-28	-2.851513e-23	-3.744957e-19	-7.430833e-07	-2.465248e-04	-1.000000e+00	6.6891460004e-05
-3.173895e-09	3.252264e-03	1.738767e-03	-1.367784e-28	9.464885e-24	-3.744957e-19	-7.827572e-07	8.182772e-05	-1.000000e+00	7.0236030004e-05
-6.402674e-08	-1.867392e-03	4.548562e-04	-7.564601e-28	2.397264e-23	-3.744957e-19	-8.236620e-07	2.072532e-04	-1.000000e+00	7.3580610005e-05
-1.608231e-07	-2.353786e-03	9.647382e-04	-5.203159e-28	-2.098982e-23	-3.744957e-19	-8.588060e-07	-1.814654e-04	-1.000000e+00	7.6925180005e-05
-2.155731e-07	2.992370e-03	1.474625e-03	-1.794925e-28	-1.411049e-23	-3.744957e-19	-8.947960e-07	-1.219909e-04	-1.000000e+00	8.0269750005e-05
-1.811365e-07	9.205481e-04	1.905598e-04	5.750088e-28	2.764252e-23	-3.744957e-19	-9.273298e-07	2.389807e-04	-1.000000e+00	8.3614330005e-05
-9.521334e-08	-3.439963e-03	7.004609e-04	7.209663e-28	8.425485e-25	-3.744957e-19	-9.639140e-07	7.284206e-06	-1.000000e+00	8.6958900005e-05
-7.703946e-09	7.119405e-04	1.210415e-03	3.320070e-28	-2.796755e-23	-3.744957e-19	-1.003053e-06	-2.417907e-04	-1.000000e+00	9.0303470006e-05
-4.884512e-09	3.100888e-03	1.720377e-03	-1.917930e-28	1.246898e-23	-3.744957e-19	-1.042417e-06	1.077994e-04	-1.000000e+00	9.3648040006e-05
-7.365334e-08	-2.171674e-03	4.364647e-04	-7.930957e-28	2.207000e-23	-3.744957e-19	-1.083260e-06	1.908040e-04	-1.000000e+00	9.6992620006e-05
