T_sec	Phi_RF_rad	dp_over_p
3.2052199999853958e-06	8.0396798916268630e-01	0.0000000000000000e+00
6.5497899999360707e-06	1.6428892543134221e+00	-2.0403369413197523e+00
9.8943700000785954e-06	2.4818130278205679e+00	-1.5034603354020364e+00
1.3238940000312566e-05	3.3207342930423631e+00	2.8297073137915585e-01
1.6583510000546535e-05	4.1596555582641574e+00	-1.1023387741815807e+00
1.9928080000780505e-05	4.9985768234859531e+00	-2.2333104678780131e+00
2.3272660001014477e-05	5.8375005970160370e+00	-2.9933026732115869e-01
2.6617230001248447e-05	3.9323655505824551e-01	-9.6769467130456255e-02
2.9961800001482418e-05	1.2321578202800403e+00	-2.1231201153107491e+00
3.3306380001716389e-05	2.0710815938101241e+00	-1.3679473871203536e+00
3.6650950001950360e-05	2.9100028590319198e+00	2.9561559964238793e-01
3.9995520002184330e-05	3.7489241242537137e+00	-1.2483826773342355e+00
4.3340090002418301e-05	4.5878453894755094e+00	-2.1808541284592540e+00
4.6684670002652272e-05	5.4267691630055932e+00	-1.8473821218090813e-01
5.0029240002886243e-05	6.2656904282273889e+00	-2.0994895686419393e-01
5.3373810003120213e-05	8.2142638626959652e-01	-2.1890753660537690e+00
5.6718390003354184e-05	1.6603501597996804e+00	-1.2195518675775274e+00
6.0062960003588155e-05	2.4992714250214760e+00	2.9439279838618909e-01
6.3407530003822119e-05	3.3381926902432699e+00	-1.3951508597513591e+00
6.6752100004056089e-05	4.1771139554650638e+00	-2.1102967906266663e+00
7.0096680004290060e-05	5.0160377289951477e+00	-7.6322368702687118e-02
7.3441250004524031e-05	5.8549589942169433e+00	-3.2737861469369850e-01
7.6785820004758002e-05	4.1069495225915276e-01	-2.2370466701593843e+00
8.0130400004991973e-05	1.2496187257892366e+00	-1.0769323918231901e+00
8.3474970005225943e-05	2.0885399910110323e+00	2.7387000091425945e-01
8.6819540005459914e-05	2.9274612562328244e+00	-1.5276481101395696e+00
9.0164110005693884e-05	3.7663825214546200e+00	-2.0244769950202888e+00
9.3508690005927856e-05	4.6053062949847039e+00	2.0589807771740506e-02
9.6853260006161826e-05	5.4442275602064996e+00	-4.5411988151619481e-01
