Time(s)	Dev_X_m	Y_vert_m	Z_long_m	Px	Py	Pz	S_Rady	S_Dikey	S_Long
0.000000e+00	-1.421085e-14	3.450000e-03	0.000000e+00	2.110043e-33	2.082312e-25	-3.744957e-19	5.632596e-15	1.800243e-06	-1.000000e+00
1.000000e-08	-5.051959e-11	3.555189e-03	-1.793895e+00	-2.297382e-29	2.323169e-23	-3.744957e-19	-2.112563e-10	2.008474e-04	-1.000000e+00
2.000000e-08	-2.201404e-10	3.666473e-03	-3.587791e+00	-4.792243e-29	2.323169e-23	-3.744957e-19	-4.396868e-10	2.008474e-04	-1.000000e+00
3.000000e-08	-5.093881e-10	3.777756e-03	-5.381686e+00	-7.284323e-29	2.323169e-23	-3.744957e-19	-6.681154e-10	2.008474e-04	-1.000000e+00
4.000000e-08	-9.178223e-10	3.889040e-03	-7.175581e+00	-9.772184e-29	2.323169e-23	-3.744957e-19	-8.965415e-10	2.008474e-04	-1.000000e+00
5.000000e-08	-1.445557e-09	4.000323e-03	-8.969477e+00	-1.225439e-28	2.323169e-23	-3.744957e-19	-1.124964e-09	2.008474e-04	-1.000000e+00
6.000000e-08	-2.091696e-09	4.111607e-03	-1.076337e+01	-1.472950e-28	2.323169e-23	-3.744957e-19	-1.353382e-09	2.008474e-04	-1.000000e+00
7.000000e-08	-2.863885e-09	4.210183e-03	-1.255727e+01	-1.934538e-28	-1.349148e-23	-3.744957e-19	-1.767611e-09	-1.166392e-04	-1.000000e+00
8.000000e-08	-3.972019e-09	4.053834e-03	-1.435116e+01	-2.586106e-28	-3.342145e-23	-3.744957e-19	-2.347053e-09	-2.889419e-04	-1.000000e+00
9.000000e-08	-5.338691e-09	3.893740e-03	-1.614506e+01	-3.119723e-28	-3.342145e-23	-3.744957e-19	-2.825808e-09	-2.889419e-04	-1.000000e+00
1.000000e-07	-6.960605e-09	3.733646e-03	-1.793895e+01	-3.651533e-28	-3.342145e-23	-3.744957e-19	-3.304551e-09	-2.889419e-04	-1.000000e+00
1.100000e-07	-8.836665e-09	3.573552e-03	-1.973285e+01	-4.181226e-28	-3.342145e-23	-3.744957e-19	-3.783280e-09	-2.889419e-04	-1.000000e+00
1.200000e-07	-1.096593e-08	3.413458e-03	-2.152674e+01	-4.708499e-28	-3.342145e-23	-3.744957e-19	-4.261996e-09	-2.889419e-04	-1.000000e+00
1.300000e-07	-1.334706e-08	3.253364e-03	-2.332064e+01	-5.233040e-28	-3.342145e-23	-3.744957e-19	-4.740693e-09	-2.889419e-04	-1.000000e+00
